,id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual
16,181761,000534.XSHE,2022-12-31,2023-02-28,2022-12-31,0.2033,80672086.22,111140009.83,1269415.51,8.9881,7.1283,4.6378,13.2975,76.85,85.9997,16.9768,13.2975,33.3349,26.0523,2.5691,82.9229,0.9471,79.3087,95.4356,24.5497,175.352,20.9655,,20.9655,,13.0815,,18.7807,,6.7442,
17,181762,001207.XSHE,2022-12-31,2023-02-28,2022-12-31,0.61,93042478.0,101488521.8,873088.92,8.3817,6.9988,5.8614,6.1452,11.3793,94.4694,6.5698,6.1452,0.575,5.5057,-0.6246,84.1863,0.7242,83.5004,58.0103,2.9839,53.9539,26.8117,,26.8117,,-35.7348,,-31.4533,,-31.8585,
18,181763,300818.XSHE,2022-12-31,2023-02-28,2022-12-31,1.9503,43904681.3,57954343.73,3930245.29,11.3444,3.7079,6.7486,18.0721,32.7875,92.2575,20.9479,18.0721,6.6346,15.2533,2.1063,36.9246,2.5041,32.6846,89.4005,17.0917,220.7532,-28.9166,,-28.9166,,-27.6049,,-26.4001,,-27.0588,
19,181764,603021.XSHG,2022-12-31,2023-02-28,2022-12-31,-1.07,-411645045.41,-218015320.96,10219641.52,-53.2554,-57.7218,-14.5111,-54.3397,4.7445,128.3836,-57.8124,-54.3397,1.8433,16.6828,13.0041,,,,77.7961,4.1627,,-10.3287,,-10.3287,,-24.3081,,-13.9043,,-4.13,
20,181765,300708.XSHE,2022-12-31,2023-02-28,2022-12-31,-0.12,-183426272.24,-19959541.13,-9962102.23,-3.883,-11.2337,-1.9078,-3.1255,9.1063,100.9839,-3.8351,-3.1255,0.7787,8.8938,0.2013,,,,113.4259,24.0677,,0.9643,,0.9643,,-140.6205,,-135.8051,,-135.8051,
21,181766,301256.XSHE,2022-12-31,2023-02-28,2022-12-31,0.27,96538612.73,116933327.24,24601496.89,10.5886,8.3686,8.1397,10.7619,16.6529,89.6976,12.5808,10.7619,0.6668,5.1666,-0.2767,82.1816,17.2901,79.03399999999999,106.6374,11.3792,110.4516,76.1383,,76.1383,,20.4176,,19.8987,,19.8987,
22,181767,600305.XSHG,2022-12-31,2023-02-28,2022-12-31,0.139,122402071.51,161042422.47,4430936.77,6.3219,5.6076,4.1907,6.053,34.3688,92.4712,7.6454,6.053,16.2189,9.302,0.1565,98.4116,2.7077,88.7009,107.9225,8.9631,119.0507,12.9755,,12.9755,,11.8397,,9.4173,,16.0419,
23,181768,002315.XSHE,2022-12-31,2023-02-28,2022-12-31,0.98,278979020.85,314406439.04,7999952.04,13.8333,12.8469,8.6248,20.515,80.226,78.6822,22.4122,20.3531,37.7394,22.677,-2.0831,95.5049,2.4301,92.8695,107.3833,33.141,154.2352,0.0005,,0.6229,,20.3803,,21.0599,,22.5989,
24,181769,601901.XSHG,2022-12-31,2023-02-28,2022-12-31,0.26,2125797979.64,1171402688.59,1026122019.53,5.0904,5.0377,1.2437,28.3232,,,28.9691,28.3232,,66.0945,,52.0978,45.6365,98.9644,,-69.5459,-461.7167,-9.7925,,-9.7925,,-16.2389,,17.6373,,17.8766,
25,181770,000055.XSHE,2022-12-31,2023-02-28,2022-12-31,0.26,270965220.96,391645332.24,-3927992.98,5.0192,4.8069,2.2886,7.4384,24.1546,89.8194,8.578,7.4384,1.4289,8.291,2.5137,119.6853,-1.2004,95.7698,88.3913,5.7503,56.4826,8.1302,,8.1302,,21.4274,,26.1712,,27.3512,
